Indicator Name,Country,Year,Value
Prevalence of overweight (% of adults),Africa Eastern and Southern,2022,28.263
Prevalence of overweight (% of adults),Africa Eastern and Southern,2021,27.72
Prevalence of overweight (% of adults),Africa Eastern and Southern,2020,27.19
Prevalence of overweight (% of adults),Africa Eastern and Southern,2019,26.675
Prevalence of overweight (% of adults),Africa Eastern and Southern,2018,26.178
Prevalence of overweight (% of adults),Africa Eastern and Southern,2017,25.684
Prevalence of overweight (% of adults),Africa Eastern and Southern,2016,25.251
Prevalence of overweight (% of adults),Africa Eastern and Southern,2015,24.836
Prevalence of overweight (% of adults),Africa Eastern and Southern,2014,24.391
Prevalence of overweight (% of adults),Africa Eastern and Southern,2013,23.978
Prevalence of overweight (% of adults),Africa Eastern and Southern,2012,23.585
Prevalence of overweight (% of adults),Africa Eastern and Southern,2011,23.201
Prevalence of overweight (% of adults),Africa Eastern and Southern,2010,22.824
Prevalence of overweight (% of adults),Africa Eastern and Southern,2009,22.432
Prevalence of overweight (% of adults),Africa Eastern and Southern,2008,22.021
Prevalence of overweight (% of adults),Africa Eastern and Southern,2007,21.588
Prevalence of overweight (% of adults),Africa Eastern and Southern,2006,21.134
Prevalence of overweight (% of adults),Africa Eastern and Southern,2005,20.665
Prevalence of overweight (% of adults),Africa Eastern and Southern,2004,20.179
Prevalence of overweight (% of adults),Africa Eastern and Southern,2003,19.681
Prevalence of overweight (% of adults),Africa Eastern and Southern,2002,19.176
Prevalence of overweight (% of adults),Africa Eastern and Southern,2001,18.68
Prevalence of overweight (% of adults),Africa Eastern and Southern,2000,18.204
Prevalence of overweight (% of adults),Africa Eastern and Southern,1999,17.747
Prevalence of overweight (% of adults),Africa Eastern and Southern,1998,17.303
Prevalence of overweight (% of adults),Africa Eastern and Southern,1997,16.864
Prevalence of overweight (% of adults),Africa Eastern and Southern,1996,16.455
Prevalence of overweight (% of adults),Africa Eastern and Southern,1995,16.078
Prevalence of overweight (% of adults),Africa Eastern and Southern,1994,15.749
Prevalence of overweight (% of adults),Africa Eastern and Southern,1993,15.371
Prevalence of overweight (% of adults),Africa Eastern and Southern,1992,14.956
Prevalence of overweight (% of adults),Africa Eastern and Southern,1991,14.613
Prevalence of overweight (% of adults),Africa Eastern and Southern,1990,14.244
Prevalence of overweight (% of adults),Africa Western and Central,2022,32.379
Prevalence of overweight (% of adults),Africa Western and Central,2021,31.79
Prevalence of overweight (% of adults),Africa Western and Central,2020,31.215
Prevalence of overweight (% of adults),Africa Western and Central,2019,30.651
Prevalence of overweight (% of adults),Africa Western and Central,2018,30.104
Prevalence of overweight (% of adults),Africa Western and Central,2017,29.577
Prevalence of overweight (% of adults),Africa Western and Central,2016,29.067
Prevalence of overweight (% of adults),Africa Western and Central,2015,28.567
Prevalence of overweight (% of adults),Africa Western and Central,2014,28.075
Prevalence of overweight (% of adults),Africa Western and Central,2013,27.596
Prevalence of overweight (% of adults),Africa Western and Central,2012,27.114
Prevalence of overweight (% of adults),Africa Western and Central,2011,26.611
Prevalence of overweight (% of adults),Africa Western and Central,2010,26.071
Prevalence of overweight (% of adults),Africa Western and Central,2009,25.466
Prevalence of overweight (% of adults),Africa Western and Central,2008,24.809
Prevalence of overweight (% of adults),Africa Western and Central,2007,24.097
Prevalence of overweight (% of adults),Africa Western and Central,2006,23.333
Prevalence of overweight (% of adults),Africa Western and Central,2005,22.533
Prevalence of overweight (% of adults),Africa Western and Central,2004,21.701
Prevalence of overweight (% of adults),Africa Western and Central,2003,20.848
Prevalence of overweight (% of adults),Africa Western and Central,2002,19.979
Prevalence of overweight (% of adults),Africa Western and Central,2001,19.109
Prevalence of overweight (% of adults),Africa Western and Central,2000,18.245
Prevalence of overweight (% of adults),Africa Western and Central,1999,17.402
Prevalence of overweight (% of adults),Africa Western and Central,1998,16.577
Prevalence of overweight (% of adults),Africa Western and Central,1997,15.785
Prevalence of overweight (% of adults),Africa Western and Central,1996,15.028
Prevalence of overweight (% of adults),Africa Western and Central,1995,14.314
Prevalence of overweight (% of adults),Africa Western and Central,1994,13.631
Prevalence of overweight (% of adults),Africa Western and Central,1993,12.969
Prevalence of overweight (% of adults),Africa Western and Central,1992,12.334
Prevalence of overweight (% of adults),Africa Western and Central,1991,11.729
Prevalence of overweight (% of adults),Africa Western and Central,1990,11.151
Prevalence of overweight (% of adults),Arab World,2022,61.936
Prevalence of overweight (% of adults),Arab World,2021,61.47
Prevalence of overweight (% of adults),Arab World,2020,61.117
Prevalence of overweight (% of adults),Arab World,2019,60.694
Prevalence of overweight (% of adults),Arab World,2018,60.309
Prevalence of overweight (% of adults),Arab World,2017,59.962
Prevalence of overweight (% of adults),Arab World,2016,59.584
Prevalence of overweight (% of adults),Arab World,2015,59.118
Prevalence of overweight (% of adults),Arab World,2014,58.644
Prevalence of overweight (% of adults),Arab World,2013,58.181
Prevalence of overweight (% of adults),Arab World,2012,57.672
Prevalence of overweight (% of adults),Arab World,2011,57.139
Prevalence of overweight (% of adults),Arab World,2010,56.585
Prevalence of overweight (% of adults),Arab World,2009,56.084
Prevalence of overweight (% of adults),Arab World,2008,55.499
Prevalence of overweight (% of adults),Arab World,2007,54.867
Prevalence of overweight (% of adults),Arab World,2006,54.185
Prevalence of overweight (% of adults),Arab World,2005,53.5
Prevalence of overweight (% of adults),Arab World,2004,52.806
Prevalence of overweight (% of adults),Arab World,2003,52.069
Prevalence of overweight (% of adults),Arab World,2002,51.304
Prevalence of overweight (% of adults),Arab World,2001,50.523
Prevalence of overweight (% of adults),Arab World,2000,49.728
Prevalence of overweight (% of adults),Arab World,1999,48.926
Prevalence of overweight (% of adults),Arab World,1998,48.116
Prevalence of overweight (% of adults),Arab World,1997,47.314
Prevalence of overweight (% of adults),Arab World,1996,46.503
Prevalence of overweight (% of adults),Arab World,1995,45.697
