indicator,country,code,Year,Value
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2022,28.263
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2021,27.72
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2020,27.19
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2019,26.675
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2018,26.178
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2017,25.684
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2016,25.251
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2015,24.836
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2014,24.391
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2013,23.978
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2012,23.585
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2011,23.201
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2010,22.824
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2009,22.432
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2008,22.021
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2007,21.588
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2006,21.134
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2005,20.665
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2004,20.179
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2003,19.681
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2002,19.176
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2001,18.68
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,2000,18.204
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1999,17.747
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1998,17.303
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1997,16.864
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1996,16.455
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1995,16.078
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1994,15.749
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1993,15.371
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1992,14.956
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1991,14.613
Prevalence of overweight (% of adults),Africa Eastern and Southern,AFE,1990,14.244
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2022,32.379
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2021,31.79
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2020,31.215
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2019,30.651
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2018,30.104
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2017,29.577
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2016,29.067
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2015,28.567
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2014,28.075
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2013,27.596
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2012,27.114
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2011,26.611
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2010,26.071
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2009,25.466
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2008,24.809
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2007,24.097
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2006,23.333
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2005,22.533
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2004,21.701
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2003,20.848
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2002,19.979
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2001,19.109
Prevalence of overweight (% of adults),Africa Western and Central,AFW,2000,18.245
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1999,17.402
