country,code,indicator
Aruba,ABW,Literacy
Africa Eastern and Southern,AFE,Literacy
Afghanistan,AFG,Literacy
Africa Western and Central,AFW,Literacy
Angola,AGO,Literacy
Albania,ALB,Literacy
Andorra,AND,Literacy
Arab World,ARB,Literacy
United Arab Emirates,ARE,Literacy
Argentina,ARG,Literacy
Armenia,ARM,Literacy
American Samoa,ASM,Literacy
Antigua and Barbuda,ATG,Literacy
Australia,AUS,Literacy
Austria,AUT,Literacy
Azerbaijan,AZE,Literacy
Burundi,BDI,Literacy
Belgium,BEL,Literacy
Benin,BEN,Literacy
Burkina Faso,BFA,Literacy
Bangladesh,BGD,Literacy
Bulgaria,BGR,Literacy
Bahrain,BHR,Literacy
"Bahamas, The",BHS,Literacy
Bosnia and Herzegovina,BIH,Literacy
Belarus,BLR,Literacy
Belize,BLZ,Literacy
Bermuda,BMU,Literacy
Bolivia,BOL,Literacy
Brazil,BRA,Literacy
Barbados,BRB,Literacy
Brunei Darussalam,BRN,Literacy
Bhutan,BTN,Literacy
Botswana,BWA,Literacy
Central African Republic,CAF,Literacy
Canada,CAN,Literacy
Central Europe and the Baltics,CEB,Literacy
Switzerland,CHE,Literacy
Channel Islands,CHI,Literacy
Chile,CHL,Literacy
China,CHN,Literacy
Cote d'Ivoire,CIV,Literacy
Cameroon,CMR,Literacy
"Congo, Dem. Rep.",COD,Literacy
"Congo, Rep.",COG,Literacy
Colombia,COL,Literacy
Comoros,COM,Literacy
Cabo Verde,CPV,Literacy
Costa Rica,CRI,Literacy
Caribbean small states,CSS,Literacy
Cuba,CUB,Literacy
Curacao,CUW,Literacy
Cayman Islands,CYM,Literacy
Cyprus,CYP,Literacy
Czechia,CZE,Literacy
Germany,DEU,Literacy
Djibouti,DJI,Literacy
Dominica,DMA,Literacy
Denmark,DNK,Literacy
Dominican Republic,DOM,Literacy
Algeria,DZA,Literacy
East Asia & Pacific (excluding high income),EAP,Literacy
Early-demographic dividend,EAR,Literacy
East Asia & Pacific,EAS,Literacy
Europe & Central Asia (excluding high income),ECA,Literacy
Europe & Central Asia,ECS,Literacy
Ecuador,ECU,Literacy
"Egypt, Arab Rep.",EGY,Literacy
Euro area,EMU,Literacy
Eritrea,ERI,Literacy
Spain,ESP,Literacy
Estonia,EST,Literacy
Ethiopia,ETH,Literacy
European Union,EUU,Literacy
Fragile and conflict affected situations,FCS,Literacy
Finland,FIN,Literacy
Fiji,FJI,Literacy
France,FRA,Literacy
Faroe Islands,FRO,Literacy
"Micronesia, Fed. Sts.",FSM,Literacy
Gabon,GAB,Literacy
United Kingdom,GBR,Literacy
Georgia,GEO,Literacy
Ghana,GHA,Literacy
Gibraltar,GIB,Literacy
Guinea,GIN,Literacy
"Gambia, The",GMB,Literacy
Guinea-Bissau,GNB,Literacy
Equatorial Guinea,GNQ,Literacy
Greece,GRC,Literacy
Grenada,GRD,Literacy
Greenland,GRL,Literacy
Guatemala,GTM,Literacy
Guam,GUM,Literacy
Guyana,GUY,Literacy
High income,HIC,Literacy
"Hong Kong SAR, China",HKG,Literacy
Honduras,HND,Literacy
Heavily indebted poor countries (HIPC),HPC,Literacy
Croatia,HRV,Literacy
Haiti,HTI,Literacy
Hungary,HUN,Literacy
IBRD only,IBD,Literacy
IDA & IBRD total,IBT,Literacy
IDA total,IDA,Literacy
IDA blend,IDB,Literacy
Indonesia,IDN,Literacy
IDA only,IDX,Literacy
Isle of Man,IMN,Literacy
India,IND,Literacy
Not classified,INX,Literacy
Ireland,IRL,Literacy
"Iran, Islamic Rep.",IRN,Literacy
Iraq,IRQ,Literacy
Iceland,ISL,Literacy
Israel,ISR,Literacy
Italy,ITA,Literacy
Jamaica,JAM,Literacy
Jordan,JOR,Literacy
Japan,JPN,Literacy
Kazakhstan,KAZ,Literacy
Kenya,KEN,Literacy
Kyrgyz Republic,KGZ,Literacy
Cambodia,KHM,Literacy
Kiribati,KIR,Literacy
St. Kitts and Nevis,KNA,Literacy
"Korea, Rep.",KOR,Literacy
Kuwait,KWT,Literacy
Latin America & Caribbean (excluding high income),LAC,Literacy
Lao PDR,LAO,Literacy
Lebanon,LBN,Literacy
Liberia,LBR,Literacy
Libya,LBY,Literacy
St. Lucia,LCA,Literacy
Latin America & Caribbean,LCN,Literacy
Least developed countries: UN classification,LDC,Literacy
Low income,LIC,Literacy
Liechtenstein,LIE,Literacy
Sri Lanka,LKA,Literacy
Lower middle income,LMC,Literacy
Low & middle income,LMY,Literacy
Lesotho,LSO,Literacy
Late-demographic dividend,LTE,Literacy
Lithuania,LTU,Literacy
Luxembourg,LUX,Literacy
Latvia,LVA,Literacy
"Macao SAR, China",MAC,Literacy
St. Martin (French part),MAF,Literacy
Morocco,MAR,Literacy
Monaco,MCO,Literacy
Moldova,MDA,Literacy
Madagascar,MDG,Literacy
Maldives,MDV,Literacy
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Literacy
Mexico,MEX,Literacy
Marshall Islands,MHL,Literacy
Middle income,MIC,Literacy
North Macedonia,MKD,Literacy
Mali,MLI,Literacy
Malta,MLT,Literacy
Myanmar,MMR,Literacy
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Literacy
Montenegro,MNE,Literacy
Mongolia,MNG,Literacy
Northern Mariana Islands,MNP,Literacy
Mozambique,MOZ,Literacy
Mauritania,MRT,Literacy
Mauritius,MUS,Literacy
Malawi,MWI,Literacy
Malaysia,MYS,Literacy
North America,NAC,Literacy
Namibia,NAM,Literacy
New Caledonia,NCL,Literacy
Niger,NER,Literacy
Nigeria,NGA,Literacy
Nicaragua,NIC,Literacy
Netherlands,NLD,Literacy
Norway,NOR,Literacy
Nepal,NPL,Literacy
Nauru,NRU,Literacy
New Zealand,NZL,Literacy
OECD members,OED,Literacy
Oman,OMN,Literacy
Other small states,OSS,Literacy
Pakistan,PAK,Literacy
Panama,PAN,Literacy
Peru,PER,Literacy
Philippines,PHL,Literacy
Palau,PLW,Literacy
Papua New Guinea,PNG,Literacy
Poland,POL,Literacy
Pre-demographic dividend,PRE,Literacy
Puerto Rico (US),PRI,Literacy
"Korea, Dem. People's Rep.",PRK,Literacy
Portugal,PRT,Literacy
Paraguay,PRY,Literacy
West Bank and Gaza,PSE,Literacy
Pacific island small states,PSS,Literacy
Post-demographic dividend,PST,Literacy
French Polynesia,PYF,Literacy
Qatar,QAT,Literacy
Romania,ROU,Literacy
Russian Federation,RUS,Literacy
Rwanda,RWA,Literacy
South Asia,SAS,Literacy
Saudi Arabia,SAU,Literacy
Sudan,SDN,Literacy
Senegal,SEN,Literacy
Singapore,SGP,Literacy
Solomon Islands,SLB,Literacy
Sierra Leone,SLE,Literacy
El Salvador,SLV,Literacy
San Marino,SMR,Literacy
"Somalia, Fed. Rep.",SOM,Literacy
Serbia,SRB,Literacy
Sub-Saharan Africa (excluding high income),SSA,Literacy
South Sudan,SSD,Literacy
Sub-Saharan Africa,SSF,Literacy
Small states,SST,Literacy
Sao Tome and Principe,STP,Literacy
Suriname,SUR,Literacy
Slovak Republic,SVK,Literacy
Slovenia,SVN,Literacy
Sweden,SWE,Literacy
Eswatini,SWZ,Literacy
Sint Maarten (Dutch part),SXM,Literacy
Seychelles,SYC,Literacy
Syrian Arab Republic,SYR,Literacy
Turks and Caicos Islands,TCA,Literacy
Chad,TCD,Literacy
East Asia & Pacific (IDA & IBRD countries),TEA,Literacy
Europe & Central Asia (IDA & IBRD countries),TEC,Literacy
Togo,TGO,Literacy
Thailand,THA,Literacy
Tajikistan,TJK,Literacy
Turkmenistan,TKM,Literacy
Latin America & the Caribbean (IDA & IBRD countries),TLA,Literacy
Timor-Leste,TLS,Literacy
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Literacy
Tonga,TON,Literacy
South Asia (IDA & IBRD),TSA,Literacy
Sub-Saharan Africa (IDA & IBRD countries),TSS,Literacy
Trinidad and Tobago,TTO,Literacy
Tunisia,TUN,Literacy
Turkiye,TUR,Literacy
Tuvalu,TUV,Literacy
Tanzania,TZA,Literacy
Uganda,UGA,Literacy
Ukraine,UKR,Literacy
Upper middle income,UMC,Literacy
Uruguay,URY,Literacy
United States,USA,Literacy
Uzbekistan,UZB,Literacy
St. Vincent and the Grenadines,VCT,Literacy
"Venezuela, RB",VEN,Literacy
British Virgin Islands,VGB,Literacy
Virgin Islands (U.S.),VIR,Literacy
Viet Nam,VNM,Literacy
Vanuatu,VUT,Literacy
World,WLD,Literacy
Samoa,WSM,Literacy
Kosovo,XKX,Literacy
"Yemen, Rep.",YEM,Literacy
South Africa,ZAF,Literacy
Zambia,ZMB,Literacy
Zimbabwe,ZWE,Literacy
Aruba,ABW,Life Expectancy
Africa Eastern and Southern,AFE,Life Expectancy
Afghanistan,AFG,Life Expectancy
Africa Western and Central,AFW,Life Expectancy
