Flag,Country,IOC,FIFA,ISO
,British Honduras,HBR1972,BHO,
,Burma,BIR1988,BUR1989,BUR1989
,Ceylon,CEY1972,CEY1972,
,Dahomey,DAH1972,DAH1975,DHY1977
,Czechoslovakia,TCH1992,TCH1993,CSK1993
,East Germany,GDR1988,GDR1990,DDR1990
,Khmer Republic,KHM1976,CAMcurrent,KHM1975
,Kosovo,KOScurrent,KVX2022,
,Lebanon,LIB2016,LIB2020,LBNcurrent
,Malaya,MAL1960,MAL1963,
,Netherlands,HOL1988,HOL19??,NLDcurrent
,Netherlands Antilles,AHO2010,ANT2010,ANT2010
,North Borneo,NBO1956,NBO1963,
,North Yemen,YAR1988,NYE1990,YEM1990
,Northern Rhodesia,NRH1964,NRH1964,
,Rhodesia,RHO1972,RHO1980,RHO1980
,Romania,ROM2006,ROM2005,ROM2002
,Saarland,SAA1952,SAA1956,
,Serbia and Montenegro,SCG2006,SCG2006,SCG2006
,Singapore,SIN2016,SIN2022,SGPcurrent
,South Yemen,YMD1988,SYE1990,YMD1990
,Soviet Union,URS1988,URS1991,SUN1992
,Sudan,SUDcurrent,SUD2012,SDNcurrent
,Trinidad and Tobago,TRI2012,TRIcurrent,TTOcurrent
,United Arab Republic,UAR1968,UAR1971,
,Upper Volta,VOL1984,UPV1984,HVO1984
,"Viet Nam, Democratic Republic of",n.a.,VNO1975,VDR1977
,"Viet Nam, Republic of",VNM1976,VSO1975,VNM1977
,West Germany,FRG1988,FRG1990,DEU1990
,Western Samoa,SAM1996,WSM1997,WSM1997
,"Yugoslavia, Federal Republic of",YUG2002,YUG2003,YUG2003
,"Yugoslavia, Socialist Federal Republic of",YUG1992,YUG1992,YUG1992
,Zaire,ZAI1996,ZAI1997,ZAR1997
