country,code,indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,97.29000092,,,,,,,,,,96.81999969,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",58.45922089,58.8845787,59.3387413,59.86544037,60.3634491,61.05683136,61.27347946,62.15333176,62.66661835,63.15776062,63.83761978,64.33406067,64.57491302,63.9414711,61.94591141,62.96995926,63.22822952,63.96081161,64.7143631,66.82814026,68.51519012,69.36831665,69.83281708,70.23783875,70.95726776,70.87973022,71.6701889,72.8010788,72.97689056,72.7159729,73.05597687,73.36814117,73.69512939
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,31.45000076,,,,33.75,,,,,35.98655464,37.27000046,,,
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",45.13788986,45.97901917,46.86288834,47.03601074,47.90126038,48.90605927,50.2893219,51.14945984,47.62281036,48.8175087,49.55825043,50.14485931,51.48582077,51.60889816,52.29655838,50.30382156,50.75019836,50.84711838,51.38764954,52.44287872,53.00239182,53.8403511,54.54299927,55.41001892,55.87162018,56.87852097,60.35494995,60.13639069,60.25281143,60.51089096,60.78097916,61.02635956,61.17396927
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,67.41000366,,,,,,,,,,,,,66.02999878,66.23999786,,,,,,,,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,98.70999908,,,,,,,95.94000244,,,96.84999847,97.25,,,,,98.81999969,,,,,,97.68000031,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",57.84735107,58.53086853,59.33267975,60.17140961,61.17660904,62.18494034,63.2802887,64.24861908,65.15641785,66.25002289,67.28630066,69.9872818,70.86013794,71.43102264,69.21067047,70.03868866,70.90293884,71.94953156,72.55918121,74.29264832,75.16641235,76.22319794,76.31330872,77.15003967,75.9190979,76.59300995,76.90971375,77.14977264,77.55776215,77.86724091,78.27192688,78.61656952,78.98642731
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,90.02999878,,,,,,,,,,,,,,97.77999878,,98.12999725,98.29000092,98.05999756,98.80999756
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,97.19000244,,,,,,,,,,,,,,,,,,,99.13999939,,,,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,99.40000153,,,,,,,,,,99.73999786,,,,,99.73999786,99.73999786,,,99.79000092,,99.81999969,99.83999634,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,98.94999695,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,98.79000092,,,,,,,,99.58999634,,99.76000214,99.76999664,99.77999878,99.77999878,99.79000092,99.79000092,99.79000092,99.79000092,99.79000092,,99.80000305,,,,99.77999878,
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,59.29999924,,,,,,,,48.08000183,,,,,,61.29000092,,65.69000244,68.37999725,,,71.40781661,,,,
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",27.25,,,,,,,,,,34.65999985,,,,,,,,,44.67485755,,45.08000183,,,,38.86999893,,49,,43.83000183,51.38000107,,
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,12.85000038,,,,,,,21.81999969,,23.52000046,22.46999931,27.87999916,,,,,,,34.59999847,,,,39.34999847,29.65999985,,36.97000122,40.91999817,41.44203353,
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,47.49000168,,,,,,,,,,58.77000046,57.86000061,61.02000046,61.09000015,65.13999939,72.76000214,72.88999939,73.91000366,74.68000031,74.91000366,76.36000061,79,,
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,98.19999695,,,,,,,,,,98.34999847,,,,,,,,,,,,,
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,86.55000305,,,,,,,,,,,,,,,,,,,,,97.87000275,97.84999847,97.81999969
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,96.66000366,,,,,,,,,,,,,96.98999786,,,,,,,,,,,
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,99.58999634,,,,,,,,,,99.62000275,,,,,,,,,,99.87000275,,,,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,76.90000153,,,,,,,,,,,,,,,90.91999817,,,,,,,87.87999725,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",79.98999786,,,,,,,,,86.72000122,,,,,,90.29000092,90.69999695,91.16999817,,92.23000336,94.45999908,,,92.45999908,,,,,93.84999847,,,95.55000305,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,86.37000275,,,,88.62000275,,89.62000275,90.01000214,90.04000092,90.30000305,90.37999725,91.41000366,91.33999634,91.48000336,91.73000336,92.05000305,92.80999756,93.08000183,93.23000336,93.9019248,94.75764906,94.78488372,94.38538745,94.58396248,94.8005123
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
