country,Literacy rate_2000,Literacy rate_2010,Literacy rate_1992,Literacy rate_1993,Literacy rate_1994,Literacy rate_1995,Literacy rate_1996,Literacy rate_1997,Literacy rate_1998,Literacy rate_1999,Literacy rate_2001,Literacy rate_2002,Literacy rate_2003,Literacy rate_2004,Literacy rate_2005,Literacy rate_2006,Literacy rate_2007,Literacy rate_2008,Literacy rate_2009,Literacy rate_2011,Literacy rate_2012,Literacy rate_2013,Literacy rate_2014,Literacy rate_2015,Literacy rate_2016,Literacy rate_2017,Literacy rate_2018,Literacy rate_2019,Literacy rate_2020,Literacy rate_2021,Literacy rate_2022,Literacy rate_2023,Literacy rate_2024,Life expectancy_1992,Life expectancy_1993,Life expectancy_1994,Life expectancy_1995,Life expectancy_1996,Life expectancy_1997,Life expectancy_1998,Life expectancy_1999,Life expectancy_2000,Life expectancy_2001,Life expectancy_2002,Life expectancy_2003,Life expectancy_2004,Life expectancy_2005,Life expectancy_2006,Life expectancy_2007,Life expectancy_2008,Life expectancy_2009,Life expectancy_2010,Life expectancy_2011,Life expectancy_2012,Life expectancy_2013,Life expectancy_2014,Life expectancy_2015,Life expectancy_2016,Life expectancy_2017,Life expectancy_2018,Life expectancy_2019,Life expectancy_2020,Life expectancy_2021,Life expectancy_2022,Life expectancy_2023,Schooling years_2001,Schooling years_2006,Schooling years_2011,Schooling years_2016,Schooling years_2008,Schooling years_2012,Schooling years_2003,Schooling years_2004,Schooling years_2005,Schooling years_2014,Schooling years_2015,Schooling years_2009,Schooling years_2010,Schooling years_2013,Schooling years_2018,Schooling years_2017,Schooling years_2000,Schooling years_2007,Schooling years_1999,Schooling years_2019,Schooling years_2002,Schooling years_1992,Schooling years_1998,Schooling years_1994,Schooling years_1995,Schooling years_1996,Schooling years_1993,Obesity rate_2022,Obesity rate_2021,Obesity rate_2020,Obesity rate_2019,Obesity rate_2018,Obesity rate_2017,Obesity rate_2016,Obesity rate_2015,Obesity rate_2014,Obesity rate_2013,Obesity rate_2012,Obesity rate_2011,Obesity rate_2010,Obesity rate_2009,Obesity rate_2008,Obesity rate_2007,Obesity rate_2006,Obesity rate_2005,Obesity rate_2004,Obesity rate_2003,Obesity rate_2002,Obesity rate_2001,Obesity rate_2000,Obesity rate_1999,Obesity rate_1998,Obesity rate_1997,Obesity rate_1996,Obesity rate_1995,Obesity rate_1994,Obesity rate_1993,Obesity rate_1992,Obesity rate_1991,Obesity rate_1990,Obesity rate_1989,Obesity rate_1988,Obesity rate_1987,Obesity rate_1986,Obesity rate_1985,Obesity rate_1984,Obesity rate_1983,Obesity rate_1982,Obesity rate_1981,Obesity rate_1980,Obesity rate_1979,Obesity rate_1978,Obesity rate_1977,Obesity rate_1976,Obesity rate_1975
Aruba,97.29000092,96.81999969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.717,72.777,72.796,72.832,72.856,72.904,72.94,72.857,72.939,73.044,73.135,73.236,73.223,73.415,73.498,73.642,73.783,73.974,74.297,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47793,NA,NA,NA,8.93753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,62.66661835,64.7143631,58.45922089,58.8845787,59.3387413,59.86544037,60.3634491,61.05683136,61.27347946,62.15333176,63.15776062,63.83761978,64.33406067,64.57491302,63.9414711,61.94591141,62.96995926,63.22822952,63.96081161,66.82814026,68.51519012,69.36831665,69.83281708,70.23783875,70.95726776,70.87973022,71.6701889,72.8010788,72.97689056,72.7159729,73.05597687,73.36814117,73.69512939,50.71594605,51.07376191,50.9665888,51.48205668,51.35318984,51.57088652,51.31795547,51.80707724,52.55734186,52.87553605,53.20674433,53.67830477,54.19292787,54.80768071,55.69351526,56.48435318,57.24010632,58.09552714,58.82727921,59.20000403,60.24951236,60.89573975,61.25143602,61.71303052,62.16798132,62.5912751,63.33069136,63.85726128,63.766484,62.97999919,64.48701955,65.14629086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.263,27.72,27.19,26.675,26.178,25.684,25.251,24.836,24.391,23.978,23.585,23.201,22.824,22.432,22.021,21.588,21.134,20.665,20.179,19.681,19.176,18.68,18.204,17.747,17.303,16.864,16.455,16.078,15.749,15.371,14.956,14.613,14.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.450000760000002,NA,NA,NA,33.75,NA,NA,NA,NA,35.98655464,37.27000046,NA,NA,NA,46.569,51.021,50.969,52.103,52.83,53.212,52.487,54.532,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.57,46.98,45.38,43.77,42.15,40.52,38.89,37.27,35.69,34.15,32.66,31.21,29.8,28.44,27.1,25.81,24.55,23.33,22.15,21.01,19.91,18.86,17.85,16.89,15.97,15.09,14.27,13.48,12.74,12.04,11.37,10.74,10.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,47.62281036,51.38764954,45.13788986,45.97901917,46.86288834,47.03601074,47.90126038,48.90605927,50.2893219,51.14945984,48.8175087,49.55825043,50.14485931,51.48582077,51.60889816,52.29655838,50.30382156,50.75019836,50.84711838,52.44287872,53.00239182,53.8403511,54.54299927,55.41001892,55.87162018,56.87852097,60.35494995,60.13639069,60.25281143,60.51089096,60.78097916,61.02635956,61.17396927,48.68859214,48.85494001,48.85928311,49.02700669,49.11155737,49.21878349,49.45245902,49.82376333,50.29798308,50.67779041,51.10802357,51.57812224,52.10608309,52.5557531,52.97870971,53.48243141,53.91626163,53.85224546,54.60335321,54.96397349,55.29270582,55.55490741,55.69544634,56.03833565,56.39245185,56.62643881,57.03697644,57.14984676,57.3644254,57.36257169,57.98781339,58.85572155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.379,31.79,31.215,30.651,30.104,29.577,29.067,28.567,28.075,27.596,27.114,26.611,26.071,25.466,24.809,24.097,23.333,22.533,21.701,20.848,19.979,19.109,18.245,17.402,16.577,15.785,15.028,14.314,13.631,12.969,12.334,11.729,11.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.41000366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.02999878,66.23999786,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.267,42.19,43.567,46.139,46.418,46.688,45.452,45.808,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.78,31.25,30.73,30.22,29.73,29.25,28.77,28.31,27.85,27.4,26.96,26.5,26.03,25.53,25,24.43,23.84,23.22,22.58,21.93,21.26,20.59,19.92,19.26,18.6,17.97,17.35,16.74,16.15,15.57,15,14.45,13.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.70999908,NA,NA,NA,NA,NA,NA,95.94000244,NA,96.84999847,97.25,NA,NA,NA,NA,98.81999969,NA,NA,NA,NA,NA,97.68000031,NA,73.303,73.638,73.837,74.022,74.113,73.383,74.357,74.568,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,9.32291,NA,10.33097,NA,9.70867,10.36471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.16,61.74,61.33,60.93,60.52,60.11,59.7,59.27,58.85,58.44,58.02,57.6,57.16,56.71,56.25,55.78,55.3,54.81,54.34,53.87,53.41,52.97,52.56,52.18,51.84,51.52,51.24,50.99,50.75,50.52,50.29,50.07,49.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,65.15641785,72.55918121,57.84735107,58.53086853,59.33267975,60.17140961,61.17660904,62.18494034,63.2802887,64.24861908,66.25002289,67.28630066,69.9872818,70.86013794,71.43102264,69.21067047,70.03868866,70.90293884,71.94953156,74.29264832,75.16641235,76.22319794,76.31330872,77.15003967,75.9190979,76.59300995,76.90971375,77.14977264,77.55776215,77.86724091,78.27192688,78.61656952,78.98642731,63.57557628,64.60128011,64.85008323,65.2025061,65.5268891,65.85299249,66.19357929,66.54993439,66.89069989,67.24061704,67.58063028,67.65033495,67.7331029,68.04050241,68.49126524,68.87922644,69.25813276,69.70690354,69.8073221,69.36333769,69.8423166,70.19210585,70.53506663,70.65801237,70.89648812,71.11285601,71.43129979,71.83989327,70.72655881,70.40411449,71.8760956,72.44467836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.936,61.47,61.117,60.694,60.309,59.962,59.584,59.118,58.644,58.181,57.672,57.139,56.585,56.084,55.499,54.867,54.185,53.5,52.806,52.069,51.304,50.523,49.728,48.926,48.116,47.314,46.503,45.697,44.91,44.131,43.333,42.466,41.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.02999878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.77999878,NA,98.12999725,98.29000092,98.05999756,98.80999756,71.166,71.159,71.204,71.392,71.82,72.559,73.66,74.982,76.347,77.621,78.721,79.6,80.272,80.779,81.155,81.438,81.591,81.679,81.886,81.898,81.913,81.95,81.99,82.076,82.195,82.388,82.449,82.596,81.936,79.083,80.487,82.909,NA,NA,NA,NA,NA,NA,NA,NA,8.74556,NA,NA,NA,NA,NA,12.74428,12.42786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.33,71.31,71.32,71.32,71.28,71.21,71.11,70.97,70.83,70.68,70.53,70.38,70.24,69.95,69.36,68.77,68.24,67.71,67.21,66.66,66.06,65.41,64.7,63.94,63.15,62.33,61.5,60.65,59.78,58.89,57.98,57.07,56.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.19000244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.13999939,NA,NA,NA,NA,72.096,72.303,72.732,72.864,73.056,73.407,73.412,73.683,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,8.66949,10.20164,10.69722,10.83777,10.39876,10.68659,9.72346,NA,NA,10.80168,10.80888,10.49547,10.59208,10.82681,10.94502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.42,67.63,66.84,66.05,65.26,64.47,63.67,62.87,62.07,61.28,60.49,59.7,58.93,58.17,57.43,56.7,55.97,55.26,54.54,53.81,53.09,52.35,51.6,50.82,50.02,49.22,48.4,47.58,46.75,45.93,45.1,44.26,43.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.40000153,NA,NA,NA,NA,NA,NA,NA,NA,99.73999786,NA,NA,NA,NA,99.73999786,99.73999786,NA,NA,99.79000092,NA,99.81999969,99.83999634,NA,67.71853659,67.97319512,68.27180488,68.6284878,69.00612195,69.39382927,69.79934146,70.19895122,72.8804878,72.97560976,72.82682927,72.82682927,73.02682927,73.07560976,72.82439024,72.87317073,73.07317073,73.07317073,73.17317073,73.81707317,74.1195122,74.62195122,74.87317073,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122,73.37560976,72.27804878,74.76585366,77.46585366,10.57222,NA,11.31423,NA,NA,NA,NA,NA,NA,NA,11.69459,NA,NA,NA,NA,11.30585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.43,54.97,54.52,54.07,53.62,53.17,52.71,52.24,51.75,51.26,50.75,50.23,49.7,49.16,48.61,48.05,47.48,46.91,46.34,45.76,45.18,44.6,44.02,43.44,42.86,42.29,41.72,41.15,40.59,40.02,39.45,38.9,38.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
