Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,38.3,..,..,..,..,54.5,..,..,47.1,..,..,..,..,..
Afghanistan,AFG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,21.8,21.23950997,..,..,..,22.5,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,4.5343684134691609,3.8190684938278365,4.5764846463085957,4.9292172509644283,4.2959930906058377,4.5067074150642119,3.9946261512182981,3.4068127165521753,3.7234028151271135,3.8764326573766681,3.9951428346749958,4.2042170130553806,3.4566063874652406,2.5768543044287546,3.3195681754445094,4.0617266198230615
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,11.5,13,16.7,15.292482385947251,..
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,10.5750824702327,11.091949157320524,11.510160715030725,10.200624642516203,9.40560933162746,8.613730504620456,10.131118168369694,12.678009904576005,13.039262222754406,..,..,..,..,..,..,..
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.08741255278385,1.94583569418812,1.8213454535463198,1.1754161200998698,1.0769497676240298,1.29801287790022,0.99457582272364509,0.956772140958855,0.94522679993951608,1.00674585570556,1.17096838242129,1.3588569273892899,1.827933856217,..,..,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,38.2289,36.1187,47.0152,50.1967,53.149,56.1322,58.256,62.2553,67.0508,59.8109,59.6471,58.0461,56.6945,56.2655,55.5475,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.3,42.7,43.2,69.1,68,89.5,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.55,4,5,5.45455,5.9,7,8.26,11,13.5,16.8,17.6,17.0485,16.5143,17.1917,17.7089,..
