country_noc,Inflation_Rate,Population,Labour_Force_Female,Unemployment_Rate,Government_Spending,GDP_per_capita,V10,contraceptive_percent_married,elec_access_percent,elec_kwh_per_capita,energy_oil_equiv_kg_per_capita,gross_cap_form_gdp,gross_cap_form_usd,gross_fixed_cap_form_gdp,gross_fixed_cap_form_usd,internet_access_percent,mil_expenditure_percent,mil_expenditure_usd,mobile_sub_per100,pol_stability_estimate,pol_stability_std,poverty_3dollar_ppp,poverty_multidim_undp,revenue_of_GDP.,social_contrib_percent,tax_revenue_gdp,urban_growth,life_expectancy_total_years,literacy_rate_adult_total_pct,overweight_prevalence_adults_pct,uis_mean_schooling_male_25plus,year,Inflation_Rate_lag1,Population_lag1,Labour_Force_Female_lag1,Unemployment_Rate_lag1,Government_Spending_lag1,GDP_per_capita_lag1,V10_lag1,contraceptive_percent_married_lag1,elec_access_percent_lag1,elec_kwh_per_capita_lag1,energy_oil_equiv_kg_per_capita_lag1,gross_cap_form_gdp_lag1,gross_cap_form_usd_lag1,gross_fixed_cap_form_gdp_lag1,gross_fixed_cap_form_usd_lag1,internet_access_percent_lag1,mil_expenditure_percent_lag1,mil_expenditure_usd_lag1,mobile_sub_per100_lag1,pol_stability_estimate_lag1,pol_stability_std_lag1,poverty_3dollar_ppp_lag1,poverty_multidim_undp_lag1,revenue_of_GDP._lag1,social_contrib_percent_lag1,tax_revenue_gdp_lag1,urban_growth_lag1,life_expectancy_total_years_lag1,literacy_rate_adult_total_pct_lag1,overweight_prevalence_adults_pct_lag1,uis_mean_schooling_male_25plus_lag1,Inflation_Rate_lag2,Population_lag2,Labour_Force_Female_lag2,Unemployment_Rate_lag2,Government_Spending_lag2,GDP_per_capita_lag2,V10_lag2,contraceptive_percent_married_lag2,elec_access_percent_lag2,elec_kwh_per_capita_lag2,energy_oil_equiv_kg_per_capita_lag2,gross_cap_form_gdp_lag2,gross_cap_form_usd_lag2,gross_fixed_cap_form_gdp_lag2,gross_fixed_cap_form_usd_lag2,internet_access_percent_lag2,mil_expenditure_percent_lag2,mil_expenditure_usd_lag2,mobile_sub_per100_lag2,pol_stability_estimate_lag2,pol_stability_std_lag2,poverty_3dollar_ppp_lag2,poverty_multidim_undp_lag2,revenue_of_GDP._lag2,social_contrib_percent_lag2,tax_revenue_gdp_lag2,urban_growth_lag2,life_expectancy_total_years_lag2,literacy_rate_adult_total_pct_lag2,overweight_prevalence_adults_pct_lag2,uis_mean_schooling_male_25plus_lag2,Inflation_Rate_lag3,Population_lag3,Labour_Force_Female_lag3,Unemployment_Rate_lag3,Government_Spending_lag3,GDP_per_capita_lag3,V10_lag3,contraceptive_percent_married_lag3,elec_access_percent_lag3,elec_kwh_per_capita_lag3,energy_oil_equiv_kg_per_capita_lag3,gross_cap_form_gdp_lag3,gross_cap_form_usd_lag3,gross_fixed_cap_form_gdp_lag3,gross_fixed_cap_form_usd_lag3,internet_access_percent_lag3,mil_expenditure_percent_lag3,mil_expenditure_usd_lag3,mobile_sub_per100_lag3,pol_stability_estimate_lag3,pol_stability_std_lag3,poverty_3dollar_ppp_lag3,poverty_multidim_undp_lag3,revenue_of_GDP._lag3,social_contrib_percent_lag3,tax_revenue_gdp_lag3,urban_growth_lag3,life_expectancy_total_years_lag3,literacy_rate_adult_total_pct_lag3,overweight_prevalence_adults_pct_lag3,uis_mean_schooling_male_25plus_lag3,Inflation_Rate_lag4,Population_lag4,Labour_Force_Female_lag4,Unemployment_Rate_lag4,Government_Spending_lag4,GDP_per_capita_lag4,V10_lag4,contraceptive_percent_married_lag4,elec_access_percent_lag4,elec_kwh_per_capita_lag4,energy_oil_equiv_kg_per_capita_lag4,gross_cap_form_gdp_lag4,gross_cap_form_usd_lag4,gross_fixed_cap_form_gdp_lag4,gross_fixed_cap_form_usd_lag4,internet_access_percent_lag4,mil_expenditure_percent_lag4,mil_expenditure_usd_lag4,mobile_sub_per100_lag4,pol_stability_estimate_lag4,pol_stability_std_lag4,poverty_3dollar_ppp_lag4,poverty_multidim_undp_lag4,revenue_of_GDP._lag4,social_contrib_percent_lag4,tax_revenue_gdp_lag4,urban_growth_lag4,life_expectancy_total_years_lag4,literacy_rate_adult_total_pct_lag4,overweight_prevalence_adults_pct_lag4,uis_mean_schooling_male_25plus_lag4,gold,silver,bronze,total
AFG,,15384694,,7.8845,,,,,,,,,,,,,,,0,,,,,,,,8.72887597925,50.1655,,12.4075,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
AFG,,17382996.75,,7.84225,,,,,,,,,,,,,,,0,-2.417309523,0.474807203,,,,,,5.69043670925,52.2785,,13.895,,1998,,15384694,,7.8845,,,,,,,,,,,,,,,0,,,,,,,,8.72887597925,50.1655,,12.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
AFG,,18815784.5,,7.88075,,,,,,,,,,,,,,,0,-2.4223320485,0.45501405,,,,,,4.24073100775,53.26525,,15.555,,2000,,17382996.75,,7.84225,,,,,,,,,,,,,,,0,-2.417309523,0.474807203,,,,,,5.69043670925,52.2785,,13.895,,,15384694,,7.8845,,,,,,,,,,,,,,,0,,,,,,,,8.72887597925,50.1655,,12.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
AFG,,19865603.75,,7.92025,,156.81890655314,,5.3,6.85,,,,,,,0.00472257,,,0,-2.4331617355,0.444563478,,,,,,2.7806389155,54.38375,,17.3925,,2002,,18815784.5,,7.88075,,,,,,,,,,,,,,,0,-2.4223320485,0.45501405,,,,,,4.24073100775,53.26525,,15.555,,,17382996.75,,7.84225,,,,,,,,,,,,,,,0,-2.417309523,0.474807203,,,,,,5.69043670925,52.2785,,13.895,,,15384694,,7.8845,,,,,,,,,,,,,,,0,,,,,,,,8.72887597925,50.1655,,12.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
AFG,,21131450,,7.9245,,172.86575430356,,7.8,11.7,,,,,,,0.0323917566666667,,,0.2491795,-2.224124988,0.413281709,,,,,,3.7567176075,55.978,,19.4075,,2004,,19865603.75,,7.92025,,156.81890655314,,5.3,6.85,,,,,,,0.00472257,,,0,-2.4331617355,0.444563478,,,,,,2.7806389155,54.38375,,17.3925,,,18815784.5,,7.88075,,,,,,,,,,,,,,,0,-2.4223320485,0.45501405,,,,,,4.24073100775,53.26525,,15.555,,,17382996.75,,7.84225,,,,,,,,,,,,,,,0,-2.417309523,0.474807203,,,,,,5.69043670925,52.2785,,13.895,,,15384694,,7.8845,,,,,,,,,,,,,,,0,,,,,,,,8.72887597925,50.1655,,12.4075,,0,0,0,0
AFG,,23019096.75,,7.8985,,213.443276782578,,11.95,21.4,,,,,,,0.355602925,2.211659743,123919375.3,2.115112,-2.14914953725,0.34846735,,,,,,5.2181235935,57.36325,,21.6,,2006,,21131450,,7.9245,,172.86575430356,,7.8,11.7,,,,,,,0.0323917566666667,,,0.2491795,-2.224124988,0.413281709,,,,,,3.7567176075,55.978,,19.4075,,,19865603.75,,7.92025,,156.81890655314,,5.3,6.85,,,,,,,0.00472257,,,0,-2.4331617355,0.444563478,,,,,,2.7806389155,54.38375,,17.3925,,,18815784.5,,7.88075,,,,,,,,,,,,,,,0,-2.4223320485,0.45501405,,,,,,4.24073100775,53.26525,,15.555,,,17382996.75,,7.84225,,,,,,,,,,,,,,,0,-2.417309523,0.474807203,,,,,,5.69043670925,52.2785,,13.895,,0,0,0,0
AFG,7.73258366757531,24824791.75,,7.87875,,281.59740214695,,16.1,31.1,,,,,,,1.33426975,2.2214552085,149691299.05,8.8484325,-2.24892503025,0.30136395975,,,7.988362375,0.3010551205,6.1255270895,4.10595687375,58.3915,,23.96,,2008,,23019096.75,,7.8985,,213.443276782578,,11.95,21.4,,,,,,,0.355602925,2.211659743,123919375.3,2.115112,-2.14914953725,0.34846735,,,,,,5.2181235935,57.36325,,21.6,,,21131450,,7.9245,,172.86575430356,,7.8,11.7,,,,,,,0.0323917566666667,,,0.2491795,-2.224124988,0.413281709,,,,,,3.7567176075,55.978,,19.4075,,,19865603.75,,7.92025,,156.81890655314,,5.3,6.85,,,,,,,0.00472257,,,0,-2.4331617355,0.444563478,,,,,,2.7806389155,54.38375,,17.3925,,,18815784.5,,7.88075,,,,,,,,,,,,,,,0,-2.4223320485,0.45501405,,,,,,4.24073100775,53.26525,,15.555,,0,0,1,1
AFG,8.76816760022627,26320667.25,43.79,7.84075,,371.057162267734,,20.7,40.65,,,,,,,2.34928,2.22136490075,210832138.75,23.996425,-2.50882261975,0.3000877945,,,8.6511282605,0.24614292575,6.7051943675,3.846908198,59.36625,,26.475,,2010,7.73258366757531,24824791.75,,7.87875,,281.59740214695,,16.1,31.1,,,,,,,1.33426975,2.2214552085,149691299.05,8.8484325,-2.24892503025,0.30136395975,,,7.988362375,0.3010551205,6.1255270895,4.10595687375,58.3915,,23.96,,,23019096.75,,7.8985,,213.443276782578,,11.95,21.4,,,,,,,0.355602925,2.211659743,123919375.3,2.115112,-2.14914953725,0.34846735,,,,,,5.2181235935,57.36325,,21.6,,,21131450,,7.9245,,172.86575430356,,7.8,11.7,,,,,,,0.0323917566666667,,,0.2491795,-2.224124988,0.413281709,,,,,,3.7567176075,55.978,,19.4075,,,19865603.75,,7.92025,,156.81890655314,,5.3,6.85,,,,,,,0.00472257,,,0,-2.4331617355,0.444563478,,,,,,2.7806389155,54.38375,,17.3925,,0,0,0,0
AFG,8.39755659964039,27895130,43.79,7.79225,,500.275781326589,,21.9465033233333,44.15,,,,,,,3.5975,2.04753485075,279089040.475,37.7974,-2.62099850175,0.28969495725,,,10.307474543,0.24916564075,8.1640673015,4.00201878975,60.477,31.45000076,29.1375,,2012,8.76816760022627,26320667.25,43.79,7.84075,,371.057162267734,,20.7,40.65,,,,,,,2.34928,2.22136490075,210832138.75,23.996425,-2.50882261975,0.3000877945,,,8.6511282605,0.24614292575,6.7051943675,3.846908198,59.36625,,26.475,,7.73258366757531,24824791.75,,7.87875,,281.59740214695,,16.1,31.1,,,,,,,1.33426975,2.2214552085,149691299.05,8.8484325,-2.24892503025,0.30136395975,,,7.988362375,0.3010551205,6.1255270895,4.10595687375,58.3915,,23.96,,,23019096.75,,7.8985,,213.443276782578,,11.95,21.4,,,,,,,0.355602925,2.211659743,123919375.3,2.115112,-2.14914953725,0.34846735,,,,,,5.2181235935,57.36325,,21.6,,,21131450,,7.9245,,172.86575430356,,7.8,11.7,,,,,,,0.0323917566666667,,,0.2491795,-2.224124988,0.413281709,,,,,,3.7567176075,55.978,,19.4075,,0,0,1,1
AFG,6.95242698153171,29953633.75,16.015,7.83075,,613.955103847004,,21.519754985,55.75,,,,,,,5.0886375,1.504886759,269932886.25,46.6199,-2.504780531,0.26139423625,,,10.552085963,0.380654819,8.229279952,4.4051908705,61.46875,31.45000076,31.955,,2014,8.39755659964039,27895130,43.79,7.79225,,500.275781326589,,21.9465033233333,44.15,,,,,,,3.5975,2.04753485075,279089040.475,37.7974,-2.62099850175,0.28969495725,,,10.307474543,0.24916564075,8.1640673015,4.00201878975,60.477,31.45000076,29.1375,,8.76816760022627,26320667.25,43.79,7.84075,,371.057162267734,,20.7,40.65,,,,,,,2.34928,2.22136490075,210832138.75,23.996425,-2.50882261975,0.3000877945,,,8.6511282605,0.24614292575,6.7051943675,3.846908198,59.36625,,26.475,,7.73258366757531,24824791.75,,7.87875,,281.59740214695,,16.1,31.1,,,,,,,1.33426975,2.2214552085,149691299.05,8.8484325,-2.24892503025,0.30136395975,,,7.988362375,0.3010551205,6.1255270895,4.10595687375,58.3915,,23.96,,,23019096.75,,7.8985,,213.443276782578,,11.95,21.4,,,,,,,0.355602925,2.211659743,123919375.3,2.115112,-2.14914953725,0.34846735,,,,,,5.2181235935,57.36325,,21.6,,0,0,0,0
