"country","code","indicator","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Africa Eastern and Southern","AFE","Prevalence of overweight (% of adults)",14.956,15.371,15.749,16.078,16.455,16.864,17.303,17.747,18.204,18.68,19.176,19.681,20.179,20.665,21.134,21.588,22.021,22.432,22.824,23.201,23.585,23.978,24.391,24.836,25.251,25.684,26.178,26.675,27.19,27.72,28.263,NA,NA
"Africa Western and Central","AFW","Prevalence of overweight (% of adults)",12.334,12.969,13.631,14.314,15.028,15.785,16.577,17.402,18.245,19.109,19.979,20.848,21.701,22.533,23.333,24.097,24.809,25.466,26.071,26.611,27.114,27.596,28.075,28.567,29.067,29.577,30.104,30.651,31.215,31.79,32.379,NA,NA
"Arab World","ARB","Prevalence of overweight (% of adults)",43.333,44.131,44.91,45.697,46.503,47.314,48.116,48.926,49.728,50.523,51.304,52.069,52.806,53.5,54.185,54.867,55.499,56.084,56.585,57.139,57.672,58.181,58.644,59.118,59.584,59.962,60.309,60.694,61.117,61.47,61.936,NA,NA
"Caribbean small states","CSS","Prevalence of overweight (% of adults)",41.747,42.593,43.457,44.327,45.207,46.102,46.997,47.892,48.772,49.631,50.455,51.256,52.023,52.761,53.477,54.163,54.812,55.433,56.022,56.585,57.113,57.614,58.105,58.594,59.078,59.558,59.969,60.399,60.869,61.311,61.773,NA,NA
"Central Europe and the Baltics","CEB","Prevalence of overweight (% of adults)",46.261,46.439,46.636,46.864,47.123,47.429,47.783,48.19,48.649,49.18,49.752,50.342,50.95,51.572,52.199,52.831,53.457,54.073,54.671,55.258,55.839,56.42,57.007,57.596,58.192,58.779,59.356,59.931,60.491,61.05,61.599,NA,NA
"Early-demographic dividend","EAR","Prevalence of overweight (% of adults)",18.347,18.904,19.473,20.058,20.648,21.259,21.897,22.553,23.226,23.919,24.618,25.34,26.074,26.813,27.574,28.338,29.109,29.883,30.649,31.43,32.218,33.016,33.827,34.673,35.531,36.378,37.234,38.097,38.978,39.852,40.758,NA,NA
"East Asia & Pacific","EAS","Prevalence of overweight (% of adults)",15.226,15.795,16.358,16.924,17.484,18.041,18.599,19.156,19.712,20.267,20.831,21.403,21.995,22.607,23.257,23.924,24.617,25.338,26.068,26.806,27.577,28.394,29.244,30.124,31.02,31.909,32.809,33.71,34.629,35.555,36.495,NA,NA
"East Asia & Pacific (excluding high income)","EAP","Prevalence of overweight (% of adults)",14.09,14.698,15.301,15.906,16.505,17.102,17.702,18.302,18.899,19.494,20.101,20.718,21.359,22.023,22.728,23.449,24.199,24.977,25.767,26.565,27.395,28.271,29.18,30.12,31.074,32.02,32.975,33.932,34.906,35.89,36.885,NA,NA
"East Asia & Pacific (IDA & IBRD)","TEA","Prevalence of overweight (% of adults)",14.102,14.712,15.316,15.922,16.521,17.118,17.717,18.317,18.913,19.507,20.113,20.729,21.369,22.031,22.736,23.456,24.205,24.983,25.772,26.569,27.399,28.275,29.183,30.123,31.077,32.021,32.976,33.933,34.906,35.89,36.884,NA,NA
"Euro area","EMU","Prevalence of overweight (% of adults)",46.457,46.762,47.087,47.425,47.775,48.133,48.487,48.837,49.17,49.49,49.793,50.071,50.314,50.515,50.675,50.787,50.84,50.829,50.757,50.627,50.481,50.318,50.148,49.985,49.826,49.661,49.493,49.32,49.148,48.978,48.826,NA,NA
